,string_length,encryption_times,decryption_times,slow_decryption_times
0,32,0.006751299999990579,0.0008191999999951349,0.00010270000001355584
1,64,0.00018010000002277593,0.0006041999999979453,0.00011489999999980682
2,128,0.0002466999999910513,0.0009039999999913562,0.00018560000000888977
3,256,0.0003845999999896321,0.001405199999993556,0.0003247000000214939
4,512,0.0006766999999854306,0.002540199999998549,0.0006046000000026197
5,1024,0.0012648999999953503,0.004961199999996779,0.0012217999999961648
6,2048,0.002403000000015254,0.009302200000007588,0.0023381999999969594
7,4096,0.004967699999980368,0.017744699999980185,0.004518700000005538
8,8192,0.009338200000001962,0.03560600000000136,0.009762399999999616
9,16384,0.020044800000022178,0.08102039999999988,0.018755300000009356
10,32768,0.037375099999991335,0.19957410000000664,0.037872899999996434
11,65536,0.07521399999998835,0.28397509999999215,0.07577360000001931
12,131072,0.15135320000001684,0.7997593999999992,0.15070069999998736
13,262144,0.29706529999998565,1.3802526999999998,0.301766200000003
14,524288,0.6032842999999843,2.52288249999998,0.5934081999999989
15,1048576,1.2060721,5.225521700000002,1.1945808000000113
16,2097152,2.4128651000000048,10.487931299999985,2.402502599999991
17,4194304,4.857548399999985,21.515667199999996,4.794525499999992
18,8388608,-,-,-
19,16777216,-,-,-
20,33554432,-,-,-
21,67108864,-,-,-
22,134217728,-,-,-
23,268435456,-,-,-
24,536870912,-,-,-
25,1073741824,-,-,-
